local_path,split_candidate,polarity,category,source_name,source_url,download_url,original_filename,license,license_url,ai_training_permission,commercial_permission,attribution_required,attribution_text,creator,duration_sec,sample_rate_hz,channels,file_format,downloaded_at,notes
data/external/negatives/cc0/club_bag_equipment/fsd50k__13963__11.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/13963/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/13963.wav,13963.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,adcbicycle,0.385,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__146335__keys.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/146335/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/146335.wav,146335.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,MCYost,2.229,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Keys_jangling; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__150239__samylings1203-wchimes.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/150239/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/150239.wav,150239.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,clt008,17.000,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__15417__zipper5.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/15417/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/15417.wav,15417.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,pagancow,2.813,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Zipper_(clothing); source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__154777__hoodie-zipper.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/154777/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/154777.wav,154777.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,jpkweli,3.620,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Zipper_(clothing); source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__156126__bike-bell-5.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/156126/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/156126.wav,156126.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,JL_barrett,0.609,44100,1,wav,2026-04-23T20:40:18+00:00,"FSD50K label(s): Bell, Bicycle_bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors."
data/external/negatives/cc0/club_bag_equipment/fsd50k__156946__campanes-esgl-sia-melodia1.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/156946/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/156946.wav,156946.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,AAEPGranollers,22.523,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__159759__cowbell-os-2.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/159759/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/159759.wav,159759.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,timgormly,0.359,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__171636__walking.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/171636/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/171636.wav,171636.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,SoundDawg101,4.830,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__175929__zip.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/175929/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/175929.wav,175929.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,Snapper4298,3.502,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Zipper_(clothing); source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__178282__120109-18-b-bottles.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/178282/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/178282.wav,178282.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,toiletrolltube,11.785,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__184444__dark-bell.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/184444/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/184444.wav,184444.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,neizvestnost,5.851,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__186401__balsa-hit-1.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/186401/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/186401.wav,186401.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,LloydEvans09,0.420,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__186531__tinker-tapper.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/186531/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/186531.wav,186531.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,rstthedave,8.313,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__201285__rubber-duck-toy-squeaking.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/201285/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/201285.wav,201285.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,panmaterac,7.570,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__209534__door.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/209534/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/209534.wav,209534.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,jackjames_tomknevitt,3.277,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Rattle; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__214359__cutting-with-a-kitchen-knive.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/214359/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/214359.wav,214359.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,edhutschek,21.310,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__219369__tapping.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/219369/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/219369.wav,219369.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,bushi3593,6.296,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__234862__zipper.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/234862/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/234862.wav,234862.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,mlsulli,6.476,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Zipper_(clothing); source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__235265__bell2.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/235265/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/235265.wav,235265.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,Godowan,2.127,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__235460__chimes-pickup-drop-carpet.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/235460/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/235460.wav,235460.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,jcdecha,10.177,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__235724__tall-wine-glass-hits.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/235724/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/235724.wav,235724.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,speedygonzo,24.448,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__235910__app-click.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/235910/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/235910.wav,235910.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,gflower,1.045,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__235964__electric-teeth-brushing.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/235964/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/235964.wav,235964.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,mffm,24.706,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__240120__the-bells-c-ceres.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/240120/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/240120.wav,240120.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,pedrotasio,20.689,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__244925__writing-with-pencil.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/244925/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/244925.wav,244925.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,Donovango,20.308,44100,1,wav,2026-04-23T20:40:18+00:00,"FSD50K label(s): Chink_and_clink, Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors."
data/external/negatives/cc0/club_bag_equipment/fsd50k__245204__machette-drawn-from-a-sheath.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/245204/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/245204.wav,245204.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,Mafon2,7.527,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__245695__church-bells-in-amsterdam-02.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/245695/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/245695.wav,245695.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,TicAshfield,16.341,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__2539__bel1.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/2539/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/2539.wav,2539.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,eliasheuninck,7.717,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__259553__small-metal-object-fall.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/259553/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/259553.wav,259553.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,nicktermer,2.001,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__263619__metal-on-concrete.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/263619/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/263619.wav,263619.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,zaneclampett,12.108,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__265638__bell-karthiccsk.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/265638/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/265638.wav,265638.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,Karthiccsk,7.105,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__272478__glass-clinks.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/272478/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/272478.wav,272478.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,bolcol,26.078,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Chink_and_clink; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__273887__windchime-c3-a.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/273887/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/273887.wav,273887.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,beskhu,10.000,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__275580__cutlery-throwing-1.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/275580/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/275580.wav,275580.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,hinzebeat,2.132,44100,1,wav,2026-04-23T20:40:18+00:00,"FSD50K label(s): Chink_and_clink, Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors."
data/external/negatives/cc0/club_bag_equipment/fsd50k__277516__chime-and-chomp.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/277516/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/277516.wav,277516.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,Demonicon,3.789,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__318670__cutting-watercolour-paper.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/318670/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/eval/318670.wav,318670.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,PapercutterJohn,15.223,44100,1,wav,2026-04-23T20:40:18+00:00,FSD50K label(s): Tap; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors.
data/external/negatives/cc0/club_bag_equipment/fsd50k__323122__bicycle-bell-from-bikekitchen-augsburg-02.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/323122/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/323122.wav,323122.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,geraldfiebig,8.239,44100,1,wav,2026-04-23T20:40:18+00:00,"FSD50K label(s): Bell, Bicycle_bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors."
data/external/negatives/cc0/club_bag_equipment/fsd50k__323132__bicycle-bell-from-bikekitchen-augsburg-11.wav,trainable,negative,club_bag_equipment,FSD50K,https://freesound.org/s/323132/,https://huggingface.co/datasets/Fhrozen/FSD50k/resolve/main/clips/dev/323132.wav,323132.wav,Creative Commons 0,http://creativecommons.org/publicdomain/zero/1.0/,yes,yes,no,,geraldfiebig,9.048,44100,1,wav,2026-04-23T20:40:18+00:00,"FSD50K label(s): Bell, Bicycle_bell; source clip is CC0/CC-BY. FSD50K aggregate is CC-BY and asks commercial users to contact dataset authors."
